"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","636","Create user","LMS service","Mon May 04 17:20:57 UTC 2026","passed","Mon May 04 17:20:57 UTC 2026","Create entity","Users","",""
"","591","Create user","LMS service","Mon May 04 17:20:56 UTC 2026","passed","Mon May 04 17:20:57 UTC 2026","Create entity","Users","",""
"","17","Get exercises","LMS service","Mon May 04 17:20:53 UTC 2026","passed","Mon May 04 17:20:53 UTC 2026","Get entities","Exercises","",""
"","18","Update exercise","LMS service","Mon May 04 17:20:50 UTC 2026","passed","Mon May 04 17:20:50 UTC 2026","Update entity","Exercises","",""
"","304","Get file with incorrect file id","LMS service","Mon May 04 17:20:56 UTC 2026","passed","Mon May 04 17:20:57 UTC 2026","Validate entity","Files","",""
"","26","Create course","LMS service","Mon May 04 17:20:49 UTC 2026","passed","Mon May 04 17:20:49 UTC 2026","Create entity","Courses","",""
"","21","Delete file","LMS service","Mon May 04 17:20:54 UTC 2026","passed","Mon May 04 17:20:54 UTC 2026","Delete entity","Files","",""
"","20","Get exercise","LMS service","Mon May 04 17:20:51 UTC 2026","passed","Mon May 04 17:20:51 UTC 2026","Get entity","Exercises","",""
"","12","Get user me","LMS service","Mon May 04 17:20:58 UTC 2026","passed","Mon May 04 17:20:58 UTC 2026","Get entity","Users","",""
"","20","Delete exercise","LMS service","Mon May 04 17:20:51 UTC 2026","passed","Mon May 04 17:20:52 UTC 2026","Delete entity","Exercises","",""
"","611","Create user","LMS service","Mon May 04 17:20:55 UTC 2026","passed","Mon May 04 17:20:56 UTC 2026","Create entity","Users","",""
"","17","Create file with empty directory","LMS service","Mon May 04 17:20:55 UTC 2026","passed","Mon May 04 17:20:55 UTC 2026","Validate entity","Files","",""
"","295","Create file with empty filename","LMS service","Mon May 04 17:20:55 UTC 2026","passed","Mon May 04 17:20:55 UTC 2026","Validate entity","Files","",""
"","27","Create file","LMS service","Mon May 04 17:20:53 UTC 2026","passed","Mon May 04 17:20:53 UTC 2026","Create entity","Files","",""
"","11","Get file","LMS service","Mon May 04 17:20:54 UTC 2026","passed","Mon May 04 17:20:54 UTC 2026","Get entity","Files","",""
"","26","Create exercise","LMS service","Mon May 04 17:20:50 UTC 2026","passed","Mon May 04 17:20:50 UTC 2026","Create entity","Exercises","",""
"","333","Update course","LMS service","Mon May 04 17:20:48 UTC 2026","passed","Mon May 04 17:20:48 UTC 2026","Update entity","Courses","",""
"","621","Login with correct email and password","LMS service","Mon May 04 17:20:47 UTC 2026","passed","Mon May 04 17:20:48 UTC 2026","Login","Authentication","",""
"","326","Get courses","LMS service","Mon May 04 17:20:49 UTC 2026","passed","Mon May 04 17:20:49 UTC 2026","Get entities","Courses","",""
