"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","331","Get courses","LMS service","Mon May 04 16:24:14 UTC 2026","passed","Mon May 04 16:24:15 UTC 2026","Get entities","Courses","",""
"","19","Create file","LMS service","Mon May 04 16:24:19 UTC 2026","passed","Mon May 04 16:24:19 UTC 2026","Create entity","Files","",""
"","21","Delete file","LMS service","Mon May 04 16:24:20 UTC 2026","passed","Mon May 04 16:24:20 UTC 2026","Delete entity","Files","",""
"","22","Get exercise","LMS service","Mon May 04 16:24:17 UTC 2026","passed","Mon May 04 16:24:17 UTC 2026","Get entity","Exercises","",""
"","23","Create course","LMS service","Mon May 04 16:24:15 UTC 2026","passed","Mon May 04 16:24:15 UTC 2026","Create entity","Courses","",""
"","305","Get file with incorrect file id","LMS service","Mon May 04 16:24:22 UTC 2026","passed","Mon May 04 16:24:23 UTC 2026","Validate entity","Files","",""
"","11","Get user me","LMS service","Mon May 04 16:24:23 UTC 2026","passed","Mon May 04 16:24:23 UTC 2026","Get entity","Users","",""
"","21","Update exercise","LMS service","Mon May 04 16:24:16 UTC 2026","passed","Mon May 04 16:24:16 UTC 2026","Update entity","Exercises","",""
"","11","Get file","LMS service","Mon May 04 16:24:20 UTC 2026","passed","Mon May 04 16:24:20 UTC 2026","Get entity","Files","",""
"","17","Create file with empty directory","LMS service","Mon May 04 16:24:21 UTC 2026","passed","Mon May 04 16:24:21 UTC 2026","Validate entity","Files","",""
"","626","Create user","LMS service","Mon May 04 16:24:23 UTC 2026","passed","Mon May 04 16:24:23 UTC 2026","Create entity","Users","",""
"","594","Create user","LMS service","Mon May 04 16:24:22 UTC 2026","passed","Mon May 04 16:24:23 UTC 2026","Create entity","Users","",""
"","606","Create user","LMS service","Mon May 04 16:24:21 UTC 2026","passed","Mon May 04 16:24:22 UTC 2026","Create entity","Users","",""
"","337","Update course","LMS service","Mon May 04 16:24:13 UTC 2026","passed","Mon May 04 16:24:14 UTC 2026","Update entity","Courses","",""
"","20","Get exercises","LMS service","Mon May 04 16:24:19 UTC 2026","passed","Mon May 04 16:24:19 UTC 2026","Get entities","Exercises","",""
"","18","Delete exercise","LMS service","Mon May 04 16:24:17 UTC 2026","passed","Mon May 04 16:24:17 UTC 2026","Delete entity","Exercises","",""
"","22","Create exercise","LMS service","Mon May 04 16:24:16 UTC 2026","passed","Mon May 04 16:24:16 UTC 2026","Create entity","Exercises","",""
"","300","Create file with empty filename","LMS service","Mon May 04 16:24:21 UTC 2026","passed","Mon May 04 16:24:21 UTC 2026","Validate entity","Files","",""
"","622","Login with correct email and password","LMS service","Mon May 04 16:24:13 UTC 2026","passed","Mon May 04 16:24:13 UTC 2026","Login","Authentication","",""
