"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","24","Create course","LMS service","Mon May 04 14:57:07 UTC 2026","passed","Mon May 04 14:57:07 UTC 2026","Create entity","Courses","",""
"","328","Get courses","LMS service","Mon May 04 14:57:06 UTC 2026","passed","Mon May 04 14:57:06 UTC 2026","Get entities","Courses","",""
"","12","Get user me","LMS service","Mon May 04 14:57:15 UTC 2026","passed","Mon May 04 14:57:15 UTC 2026","Get entity","Users","",""
"","24","Create file","LMS service","Mon May 04 14:57:10 UTC 2026","passed","Mon May 04 14:57:10 UTC 2026","Create entity","Files","",""
"","35","Create exercise","LMS service","Mon May 04 14:57:08 UTC 2026","passed","Mon May 04 14:57:08 UTC 2026","Create entity","Exercises","",""
"","18","Update exercise","LMS service","Mon May 04 14:57:08 UTC 2026","passed","Mon May 04 14:57:08 UTC 2026","Update entity","Exercises","",""
"","21","Delete exercise","LMS service","Mon May 04 14:57:09 UTC 2026","passed","Mon May 04 14:57:09 UTC 2026","Delete entity","Exercises","",""
"","17","Create file with empty directory","LMS service","Mon May 04 14:57:13 UTC 2026","passed","Mon May 04 14:57:13 UTC 2026","Validate entity","Files","",""
"","307","Get file with incorrect file id","LMS service","Mon May 04 14:57:14 UTC 2026","passed","Mon May 04 14:57:14 UTC 2026","Validate entity","Files","",""
"","17","Get exercises","LMS service","Mon May 04 14:57:10 UTC 2026","passed","Mon May 04 14:57:10 UTC 2026","Get entities","Exercises","",""
"","20","Delete file","LMS service","Mon May 04 14:57:12 UTC 2026","passed","Mon May 04 14:57:12 UTC 2026","Delete entity","Files","",""
"","12","Get file","LMS service","Mon May 04 14:57:12 UTC 2026","passed","Mon May 04 14:57:12 UTC 2026","Get entity","Files","",""
"","622","Login with correct email and password","LMS service","Mon May 04 14:57:05 UTC 2026","passed","Mon May 04 14:57:05 UTC 2026","Login","Authentication","",""
"","609","Create user","LMS service","Mon May 04 14:57:13 UTC 2026","passed","Mon May 04 14:57:14 UTC 2026","Create entity","Users","",""
"","343","Update course","LMS service","Mon May 04 14:57:05 UTC 2026","passed","Mon May 04 14:57:06 UTC 2026","Update entity","Courses","",""
"","594","Create user","LMS service","Mon May 04 14:57:14 UTC 2026","passed","Mon May 04 14:57:14 UTC 2026","Create entity","Users","",""
"","626","Create user","LMS service","Mon May 04 14:57:14 UTC 2026","passed","Mon May 04 14:57:15 UTC 2026","Create entity","Users","",""
"","301","Create file with empty filename","LMS service","Mon May 04 14:57:13 UTC 2026","passed","Mon May 04 14:57:13 UTC 2026","Validate entity","Files","",""
"","21","Get exercise","LMS service","Mon May 04 14:57:09 UTC 2026","passed","Mon May 04 14:57:09 UTC 2026","Get entity","Exercises","",""
